id,name,type,origin,materialused,description,imageurl,wikiurl
1,Madhubani,Painting,Bihar,"Natural dyes, handmade paper, cloth","Madhubani art is a traditional folk painting from Bihar, characterized by intricate patterns, vibrant colors, and themes of mythology, rituals, and nature.","",https://en.wikipedia.org/wiki/Madhubani_art
2,Warli,Tribal Art,Maharashtra,"White pigment from rice paste, mud walls","Warli art is a tribal mural painting style featuring simple geometric figures depicting daily life, farming, hunting, and rituals.","",https://en.wikipedia.org/wiki/Warli_painting
3,Tanjore,Painting,Tamil Nadu,"Gold foil, wooden planks, natural pigments","Tanjore paintings are classical South Indian artworks known for rich colors, surface richness, and use of gold leaf to depict deities.","",https://en.wikipedia.org/wiki/Thanjavur_painting
4,Pattachitra,Painting,Odisha & West Bengal,"Cloth, natural colors, fine brushes","Pattachitra is a scroll painting tradition depicting mythological themes with intricate borders and bold colors.","",https://en.wikipedia.org/wiki/Pattachitra
5,Kalamkari,Textile Art,Andhra Pradesh & Telangana,"Cloth, natural dyes, bamboo pens","Kalamkari is a hand-painted or block-printed cotton textile art with themes from epics like Ramayana and Mahabharata.","",https://en.wikipedia.org/wiki/Kalamkari
6,Phad,Scroll Painting,Rajasthan,"Cloth, natural dyes","Phad painting is a traditional scroll painting style depicting local deities and folk stories, often used in traveling performances.","",https://en.wikipedia.org/wiki/Phad_painting
7,Miniature Painting,Painting,Rajasthan & Mughal courts,"Paper, natural pigments, gold","Indian miniature paintings are detailed artworks depicting court life, battles, and religious themes with fine detailing.","",https://en.wikipedia.org/wiki/Miniature_painting
8,Bhil Art,Tribal Art,Madhya Pradesh,"Natural pigments, clay walls, paper","Bhil art uses vibrant dots and patterns to depict nature, animals, and tribal myths, rooted in Bhil community traditions.","",https://en.wikipedia.org/wiki/Bhil_art
9,Manjusha Art,Painting,Bihar,"Paper, natural dyes","Manjusha painting is a folk art associated with the Bishahari festival, depicting serpent motifs and mythological stories.","",https://en.wikipedia.org/wiki/Manjusha_art
10,Kerala Mural,Painting,Kerala,"Lime plastered walls, natural colors","Kerala murals are temple paintings featuring Hindu deities, mythological scenes, and natural themes in earthy tones.","",https://en.wikipedia.org/wiki/Kerala_mural_painting
11,Chitrakathi,Scroll Art,Maharashtra,"Cloth, natural colors","Chitrakathi is a narrative painting tradition where scrolls are used to tell epic and folklore stories, accompanied by songs.","",https://en.wikipedia.org/wiki/Chitrakathi
12,Gond Art,Tribal Painting,Madhya Pradesh,"Natural pigments, acrylics, paper","Gond paintings are tribal artworks with intricate lines and dots, depicting animals, folklore, and daily life.","",https://en.wikipedia.org/wiki/Gond_painting
13,Patua,Scroll Art,West Bengal,"Paper scrolls, vegetable dyes","Patua art consists of scroll paintings created by traditional singing painters who narrate stories from epics and folklore.","",https://en.wikipedia.org/wiki/Patachitra
14,Batik,Textile Art,West Bengal & Gujarat,"Wax, dyes, cotton fabric","Batik is a wax-resist dyeing technique used to create intricate designs on textiles, popular in Bengal and Gujarat.","",https://en.wikipedia.org/wiki/Batik
15,Sanjhi,Stencil Art,Uttar Pradesh,"Paper, scissors, natural dyes","Sanjhi art is a traditional paper-cutting craft from Mathura, often depicting Radha-Krishna themes and temple decorations.","",https://en.wikipedia.org/wiki/Sanjhi_art
16,Khovar Art,Wall Painting,Jharkhand,"Mud walls, natural colors","Khovar is a traditional wall painting art done by women during marriage rituals, using comb patterns and natural dyes.","",https://en.wikipedia.org/wiki/Khovar_painting
17,Sohrai Art,Wall Painting,Jharkhand,"Mud walls, natural pigments","Sohrai painting is a harvest festival art where walls are decorated with motifs of animals, plants, and tribal symbols.","",https://en.wikipedia.org/wiki/Sohrai_art
18,Bastar Art,Sculpture & Craft,Chhattisgarh,"Iron, wood, terracotta","Bastar art includes tribal metal craft, wood carving, and terracotta work, reflecting tribal rituals and daily life.","",https://en.wikipedia.org/wiki/Bastar_tribal_art
19,Rogan Painting,Fabric Art,Gujarat,"Castor oil, natural pigments, fabric","Rogan painting is a rare hand-painting technique on fabric using thick castor oil-based colors, practiced in Kutch region.","",https://en.wikipedia.org/wiki/Rogan_painting
20,Kalighat Painting,Painting,West Bengal,"Paper, watercolors, cloth","Kalighat paintings originated near Kalighat temple in Kolkata, blending folk themes with modern urban influences.","",https://en.wikipedia.org/wiki/Kalighat_painting
